Obs,Picture,Mean,Min,Max,Length.cm,Taxa,Enc,SampleSplit
6,DSC_0053.JPG,27.919,10.911,77.844,0.926,Od.Damselflies,B05,4
1,DSC_0053.JPG,84.496,56.632,131.453,0.296,Dip.ChironomidaeL,B05,4
2,DSC_0053.JPG,70.746,28.199,91.024,0.403,Dip.ChironomidaeL,B05,4
3,DSC_0053.JPG,95.261,67.359,149.352,0.32,Dip.ChironomidaeL,B05,4
4,DSC_0053.JPG,94.973,64.048,130.619,0.197,Dip.ChironomidaeL,B05,4
5,DSC_0053.JPG,106.38,67.732,136.421,0.151,Dip.ChironomidaeL,B05,4
6,DSC_0053.JPG,77.111,34.542,142.45,0.128,Eph.Heptageniidae,B05,4
1,FEn17w09A04.JPG,136.233,90.691,169.766,0.538,Dip.ChironomidaeL,A04,
2,FEn17w09A04.JPG,130.035,93.92,146,0.475,Dip.ChironomidaeL,A04,
3,FEn17w09A04.JPG,132.056,112.693,143.45,0.248,Dip.ChironomidaeL,A04,
4,FEn17w09A04.JPG,131.127,74,152,0.51,Dip.ChironomidaeL,A04,
5,FEn17w09A04.JPG,115.515,88.868,152.247,0.608,Dip.ChironomidaeL,A04,
6,FEn17w09A04.JPG,143.838,77.257,166.672,0.5,Dip.ChironomidaeL,A04,
7,FEn17w09A04.JPG,134.817,97.55,159,0.493,Dip.ChironomidaeL,A04,
8,FEn17w09A04.JPG,93.716,57.915,128,0.558,Dip.ChironomidaeL,A04,
9,FEn17w09A04.JPG,103.397,54.849,134.504,0.546,Dip.ChironomidaeL,A04,
10,FEn17w09A04.JPG,136.524,79.178,178.249,0.44,Dip.ChironomidaeL,A04,
11,FEn17w09A04.JPG,111.191,71.839,176.814,0.407,Dip.ChironomidaeL,A04,
12,FEn17w09A04.JPG,144.852,94.152,167.213,0.496,Dip.ChironomidaeL,A04,
13,FEn17w09A04.JPG,107.11,89.597,132.295,0.195,Dip.ChironomidaeL,A04,
14,FEn17w09A04.JPG,138.258,105,177.084,0.48,Dip.ChironomidaeL,A04,
15,FEn17w09A04.JPG,139.514,125.071,155.476,0.406,Dip.ChironomidaeL,A04,
16,FEn17w09A04.JPG,148.367,85.09,164.536,0.409,Dip.ChironomidaeL,A04,
17,FEn17w09A04.JPG,126.734,73.53,157.333,0.408,Dip.ChironomidaeL,A04,
18,FEn17w09A04.JPG,120.522,77.526,174.598,0.481,Dip.ChironomidaeL,A04,
19,FEn17w09A04.JPG,136.646,62,158.9,0.454,Dip.ChironomidaeL,A04,
20,FEn17w09A04.JPG,140.844,90.496,158.834,0.509,Dip.ChironomidaeL,A04,
21,FEn17w09A04.JPG,142.463,62.778,177.779,0.404,Dip.ChironomidaeL,A04,
22,FEn17w09A04.JPG,150.867,88.041,186.885,0.424,Dip.ChironomidaeL,A04,
23,FEn17w09A04.JPG,114.933,57.791,184.618,0.541,Dip.ChironomidaeL,A04,
24,FEn17w09A04.JPG,139.647,102.67,172.333,0.421,Dip.ChironomidaeL,A04,
25,FEn17w09A04.JPG,138.579,66.478,186.49,0.111,Dip.ChironomidaeL,A04,
26,FEn17w09A04.JPG,148.602,128.698,171.993,0.426,Dip.ChironomidaeL,A04,
27,FEn17w09A04.JPG,137.838,103.274,160.288,0.449,Dip.ChironomidaeL,A04,
28,FEn17w09A04.JPG,126.89,89.133,186.223,0.39,Tri.Polycentropidae,A04,
29,FEn17w09A04.JPG,135.599,80.988,148.749,0.379,Dip.ChironomidaeL,A04,
1,FEn17w09A04.JPG,66.014,22.393,111.661,0.367,Eph.Heptageniidae,A04,
2,FEn17w09A04.JPG,67.123,17.684,130.646,0.279,Eph.Heptageniidae,A04,
3,FEn17w09A04.JPG,58.983,27.428,138.667,0.15,Eph.Heptageniidae,A04,
4,FEn17w09A04.JPG,75.024,41.516,102.429,0.26,Eph.Heptageniidae,A04,
5,FEn17w09A04.JPG,73.467,45.312,114.042,0.303,Eph.Heptageniidae,A04,
6,FEn17w09A04.JPG,103.394,59.937,162.4,0.268,Eph.Heptageniidae,A04,
7,FEn17w09A04.JPG,89.818,31.013,161.91,0.539,Eph.Heptageniidae,A04,
8,FEn17w09A04.JPG,55.335,34.165,91.332,0.34,Eph.Heptageniidae,A04,
9,FEn17w09A04.JPG,121.771,41.537,176.975,0.328,Eph.Heptageniidae,A04,
10,FEn17w09A04.JPG,97.805,56.145,151.419,0.271,Eph.Heptageniidae,A04,
11,FEn17w09A04.JPG,106.454,68.708,130.4,0.255,Eph.Heptageniidae,A04,
12,FEn17w09A04.JPG,143.8,93,177.322,0.278,Eph.Polymitarcyidae,A04,
13,FEn17w09A04.JPG,67.817,29.604,87.396,0.473,Eph.Leptophlebiidae,A04,
14,FEn17w09A04.JPG,130.842,76.569,165.673,0.138,Dip.ChironomidaeL,A04,
15,FEn17w09A04.JPG,101.666,45.611,149.719,0.313,Dip.ChironomidaeP,A04,
1,FEn17w09A04.JPG,69.249,19.383,130.329,0.515,Od.Damselflies,A04,
2,FEn17w09A04.JPG,91.919,67.495,131,0.298,Od.Damselflies,A04,
3,FEn17w09A04.JPG,52.353,27.228,132.759,0.5,Od.Damselflies,A04,
4,FEn17w09A04.JPG,52.267,25.883,135.219,0.795,Od.Damselflies,A04,
5,FEn17w09A04.JPG,115.792,60.292,159.667,0.393,Od.Damselflies,A04,
6,FEn17w09A04.JPG,119.38,78.645,169.589,0.281,Od.Damselflies,A04,
7,FEn17w09A04.JPG,39.679,18.945,229.681,1.876,Od.Dragonflies,A04,
8,FEn17w09A04.JPG,106.722,73.082,140.836,0.221,Eph.Heptageniidae,A04,
1,FEn17w09A04.JPG,86.43,48.959,125.601,0.569,Col.ElmL,A04,
2,FEn17w09A04.JPG,87.807,48.181,130.019,0.647,Col.ElmL,A04,
3,FEn17w09A04.JPG,57.842,38.54,122.333,0.358,Col.ElmL,A04,
4,FEn17w09A04.JPG,74.75,41.31,119.303,0.564,Col.ElmL,A04,
5,FEn17w09A04.JPG,47.369,32.815,75.265,0.416,Col.ElmL,A04,
6,FEn17w09A04.JPG,108.123,77.632,146.689,0.526,Col.ElmL,A04,
7,FEn17w09A04.JPG,48.286,34.297,173.954,0.901,Hirudinea.leach,A04,
8,FEn17w09A04.JPG,107.17,91.266,121.794,0.153,Tri.Leptoceridae,A04,
1,FEn17w09A07.JPG,50.754,20.099,201.974,1.501,Od.Damselflies,A07,
2,FEn17w09A07.JPG,48.286,33.107,72.333,0.421,Col.ElmL,A07,
3,FEn17w09A07.JPG,71.851,49,117.397,0.577,Col.ElmL,A07,
4,FEn17w09A07.JPG,55.692,35.776,87.859,0.572,Col.ElmL,A07,
5,FEn17w09A07.JPG,54.824,33.93,155.055,0.599,Col.ElmL,A07,
6,FEn17w09A07.JPG,71.417,45.723,115.139,0.564,Col.ElmL,A07,
7,FEn17w09A07.JPG,66.603,38.055,118.307,0.446,Col.ElmL,A07,
8,FEn17w09A07.JPG,82.714,55.669,148.605,0.586,Col.ElmL,A07,
9,FEn17w09A07.JPG,69.35,22.701,165.766,0.302,Eph.Trcorythidae,A07,
10,FEn17w09A07.JPG,65.669,31.072,121.338,0.423,Eph.Heptageniidae,A07,
11,FEn17w09A07.JPG,124.206,82,147.161,0.42,Dip.ChironomidaeL,A07,
1,FEn17w09A08.JPG,22.45,12.667,98,0.915,Od.Damselflies,A08,
2,FEn17w09A08.JPG,44.07,26.042,73.738,0.672,Od.Damselflies,A08,
3,FEn17w09A08.JPG,38.726,15.213,99.475,0.702,Od.Damselflies,A08,
4,FEn17w09A08.JPG,52.045,40.064,67.333,0.215,Od.Damselflies,A08,
5,FEn17w09A08.JPG,92.8,51.849,131.443,0.398,Eph.Polymitarcyidae,A08,
6,FEn17w09A08.JPG,62.429,39.114,99.333,0.402,Eph.Polymitarcyidae,A08,
7,FEn17w09A08.JPG,75.276,35.449,116.021,1.007,Eph.Polymitarcyidae,A08,
8,FEn17w09A08.JPG,46.479,22.658,120.257,0.873,Eph.Polymitarcyidae,A08,
9,FEn17w09A08.JPG,29.573,15,73.404,1.111,Col.Gyrinidae,A08,
1,FEn17w09A08.JPG,108.72,62.305,140.915,0.422,Dip.ChironomidaeL,A08,
2,FEn17w09A08.JPG,118.985,98.292,135.796,0.53,Dip.ChironomidaeL,A08,
3,FEn17w09A08.JPG,92.743,59.528,113.452,0.342,Dip.ChironomidaeL,A08,
4,FEn17w09A08.JPG,122.466,65.534,156.382,0.148,Dip.ChironomidaeL,A08,
5,FEn17w09A08.JPG,128.234,67.16,151.458,0.534,Dip.ChironomidaeL,A08,
6,FEn17w09A08.JPG,59.308,24.046,132.667,0.535,Dip.ChironomidaeL,A08,
7,FEn17w09A08.JPG,126.298,77.717,151.62,0.417,Dip.ChironomidaeL,A08,
8,FEn17w09A08.JPG,60.019,39.589,96.15,0.476,Col.ElmL,A08,
9,FEn17w09A08.JPG,79.201,49.077,121.578,0.406,Tri.Polycentropidae,A08,
1,FEn17w09A08.JPG,73.722,20.473,134.634,0.168,Eph.Heptageniidae,A08,
2,FEn17w09A08.JPG,64.952,22.338,112.601,0.354,Eph.Heptageniidae,A08,
3,FEn17w09A08.JPG,64.913,32.43,96.373,0.247,Eph.Heptageniidae,A08,
4,FEn17w09A08.JPG,49.131,28.071,100.667,0.111,Eph.Heptageniidae,A08,
1,FEn17w09B02.JPG,52.019,21.576,89.73,0.361,Od.Damselflies,B02,
2,FEn17w09B02.JPG,32.668,16.667,55,0.8,Od.Damselflies,B02,
3,FEn17w09B02.JPG,90.361,68.524,112.101,0.3,Od.Damselflies,B02,
4,FEn17w09B02.JPG,66.632,34.329,135.222,0.41,Od.Damselflies,B02,
5,FEn17w09B02.JPG,32.265,13.018,98.333,1.014,Od.Damselflies,B02,
6,FEn17w09B02.JPG,35.738,18.667,104.861,1.332,Od.Damselflies,B02,
7,FEn17w09B02.JPG,103.175,46.825,150.576,0.246,Od.Damselflies,B02,
8,FEn17w09B02.JPG,48.862,35.58,65.051,0.362,Od.Damselflies,B02,
9,FEn17w09B02.JPG,66.494,48.948,85.025,0.26,Od.Damselflies,B02,
10,FEn17w09B02.JPG,49.401,25.385,90.227,0.894,Od.Damselflies,B02,
1,FEn17w09B02.JPG,63.797,38.616,89.067,0.274,Eph.Heptageniidae,B02,
2,FEn17w09B02.JPG,77.446,50.946,109.058,0.259,Eph.Heptageniidae,B02,
3,FEn17w09B02.JPG,70.292,47.022,91.667,0.162,Eph.Heptageniidae,B02,
4,FEn17w09B02.JPG,53.258,32.412,98.557,0.293,Eph.Heptageniidae,B02,
5,FEn17w09B02.JPG,89.151,60.87,150.333,0.235,Eph.Heptageniidae,B02,
6,FEn17w09B02.JPG,67.947,42.569,136.765,0.357,Eph.Heptageniidae,B02,
7,FEn17w09B02.JPG,77.581,46.969,138.333,0.233,Eph.Heptageniidae,B02,
8,FEn17w09B02.JPG,89.29,67.633,135.333,0.118,Eph.Heptageniidae,B02,
9,FEn17w09B02.JPG,73.471,47.436,125.625,0.21,Eph.Heptageniidae,B02,
10,FEn17w09B02.JPG,71.079,22,148.183,0.209,Eph.Heptageniidae,B02,
11,FEn17w09B02.JPG,73.383,38.119,123.548,0.232,Eph.Heptageniidae,B02,
12,FEn17w09B02.JPG,97.849,79.62,146.667,0.148,Eph.Heptageniidae,B02,
13,FEn17w09B02.JPG,63.877,33.333,90.122,0.311,Eph.Heptageniidae,B02,
14,FEn17w09B02.JPG,60.007,39.033,141.728,0.163,Eph.Heptageniidae,B02,
15,FEn17w09B02.JPG,62.949,35.667,91.269,0.218,Eph.Heptageniidae,B02,
16,FEn17w09B02.JPG,86.788,59.223,123.667,0.151,Eph.Heptageniidae,B02,
17,FEn17w09B02.JPG,72.205,40.669,112.333,0.334,Eph.Heptageniidae,B02,
18,FEn17w09B02.JPG,88.523,33.132,136.028,0.241,Eph.Heptageniidae,B02,
19,FEn17w09B02.JPG,75.31,26.633,150.382,0.663,Eph.Heptageniidae,B02,
20,FEn17w09B02.JPG,54.418,31.471,91,0.178,Eph.Heptageniidae,B02,
21,FEn17w09B02.JPG,49.537,14.953,133.333,0.269,Eph.Heptageniidae,B02,
22,FEn17w09B02.JPG,55.011,30.51,116.296,0.214,Eph.Heptageniidae,B02,
23,FEn17w09B02.JPG,73.999,50.389,144.093,0.246,Eph.Heptageniidae,B02,
24,FEn17w09B02.JPG,87.212,41.314,111.119,0.286,Eph.Heptageniidae,B02,
25,FEn17w09B02.JPG,70.209,37.667,111.705,0.291,Eph.Heptageniidae,B02,
26,FEn17w09B02.JPG,72.45,47.229,138.987,0.122,Eph.Heptageniidae,B02,
1,FEn17w09B02.JPG,95.36,60.837,113.616,0.204,Tri.Polycentropidae,B02,
2,FEn17w09B02.JPG,99.206,55.793,134.526,0.544,Tri.Polycentropidae,B02,
1,FEn17w09B02.JPG,61.508,37.342,104.301,0.551,Col.ElmL,B02,
2,FEn17w09B02.JPG,71.119,36.026,91.01,0.594,Col.ElmL,B02,
3,FEn17w09B02.JPG,53.761,30.019,130.936,0.609,Col.ElmL,B02,
4,FEn17w09B02.JPG,72.848,47.781,122.441,0.511,Col.ElmL,B02,
5,FEn17w09B02.JPG,72.046,45.014,107.397,0.389,Col.ElmL,B02,
6,FEn17w09B02.JPG,97.26,48.885,152.667,0.542,Tri.Polycentropidae,B02,
1,FEn17w09B02.JPG,57.702,27.216,92.615,0.862,Dip.ChironomidaeL,B02,
2,FEn17w09B02.JPG,85.73,55.244,146,0.398,Dip.ChironomidaeL,B02,
3,FEn17w09B02.JPG,95.148,30.35,125.571,0.462,Dip.ChironomidaeL,B02,
4,FEn17w09B02.JPG,103.802,88.389,150.979,0.487,Dip.ChironomidaeL,B02,
5,FEn17w09B02.JPG,98.552,50.413,154.222,0.504,Dip.ChironomidaeL,B02,
6,FEn17w09B02.JPG,117.445,72.982,159.854,0.326,Dip.ChironomidaeL,B02,
7,FEn17w09B02.JPG,92.422,75.254,141.537,0.069,Dip.ChironomidaeL,B02,
8,FEn17w09B02.JPG,95.262,49.491,141.183,0.65,Dip.ChironomidaeL,B02,
9,FEn17w09B02.JPG,105.227,31.681,143.333,0.19,Dip.ChironomidaeL,B02,
10,FEn17w09B02.JPG,108.513,74.141,150.513,0.25,Dip.ChironomidaeL,B02,
11,FEn17w09B02.JPG,97.696,50.251,148.097,0.241,Dip.ChironomidaeL,B02,
12,FEn17w09B02.JPG,81.704,58.471,129.827,0.238,Dip.ChironomidaeL,B02,
13,FEn17w09B02.JPG,84.991,27.333,117.216,0.401,Dip.ChironomidaeL,B02,
14,FEn17w09B02.JPG,118.629,69.081,153.13,0.282,Dip.ChironomidaeL,B02,
1,FEn17w09B02.JPG,66.59,22.934,122.946,0.811,Dip.ChironomidaeL,B02,
2,FEn17w09B02.JPG,107.437,37.555,122.442,0.39,Dip.ChironomidaeL,B02,
3,FEn17w09B02.JPG,67.717,38.966,160.481,0.373,Eph.Trcorythidae,B02,
4,FEn17w09B02.JPG,90.497,50.582,115.181,0.305,Eph.Trcorythidae,B02,
5,FEn17w09B02.JPG,82.812,58.598,115.903,0.184,Eph.Trcorythidae,B02,
6,FEn17w09B02.JPG,87.099,63.587,123.264,0.211,Eph.Trcorythidae,B02,
7,FEn17w09B02.JPG,82.987,57.291,118.058,0.309,Eph.Polymitarcyidae,B02,
8,FEn17w09B02.JPG,54.864,26.333,145.32,0.509,Eph.Leptophlebiidae,B02,
9,FEn17w09B02.JPG,53.771,29.667,60.769,0.322,Col.Psephenidae,B02,
10,FEn17w09B02.JPG,78.321,45.598,104.982,0.294,Dip.ChironomidaeP,B02,
1,FEn17w09B02.JPG,77.723,46.328,120.049,0.223,Eph.Trcorythidae,B02,
2,FEn17w09B02.JPG,73.751,58.71,97.521,0.137,Od.Damselflies,B02,
3,FEn17w09B02.JPG,99.7,88.31,113.667,0.162,Tri.Polycentropidae,B02,
1,FEn17w09B03.JPG,78.739,21.667,230.087,1.69,Megaloptera.miscM,B03,
2,FEn17w09B03.JPG,42.482,16.265,134.545,0.605,Col.Psephenidae,B03,
3,FEn17w09B03.JPG,109.087,69.437,141.924,0.428,Tri.Polycentropidae,B03,
4,FEn17w09B03.JPG,99.495,44.038,156.898,0.358,Tri.Polycentropidae,B03,
1,FEn17w09B03.JPG,95.27,53.913,118.699,0.345,Eph.Heptageniidae,B03,
2,FEn17w09B03.JPG,104.62,34.685,154,0.322,Eph.Heptageniidae,B03,
3,FEn17w09B03.JPG,73.656,23.307,128,0.334,Eph.Heptageniidae,B03,
4,FEn17w09B03.JPG,75.803,28.879,146.622,0.4,Eph.Heptageniidae,B03,
5,FEn17w09B03.JPG,90.008,50.254,172.859,0.212,Eph.Heptageniidae,B03,
6,FEn17w09B03.JPG,59.409,29.625,136.325,0.602,Eph.Heptageniidae,B03,
7,FEn17w09B03.JPG,53.773,19.395,148.196,0.493,Eph.Heptageniidae,B03,
8,FEn17w09B03.JPG,69.723,13.333,159.513,0.724,Eph.Heptageniidae,B03,
9,FEn17w09B03.JPG,41.814,23.137,77.004,0.611,Eph.Heptageniidae,B03,
10,FEn17w09B03.JPG,68.605,41.412,95.653,0.259,Eph.Heptageniidae,B03,
11,FEn17w09B03.JPG,79.127,40.714,142.141,0.333,Eph.Heptageniidae,B03,
12,FEn17w09B03.JPG,60.779,27.169,105.349,0.453,Eph.Heptageniidae,B03,
13,FEn17w09B03.JPG,77.819,25.813,106.926,0.416,Eph.Heptageniidae,B03,
14,FEn17w09B03.JPG,82.743,45.335,156.667,0.258,Eph.Heptageniidae,B03,
15,FEn17w09B03.JPG,80.545,45.587,147.464,0.25,Eph.Heptageniidae,B03,
16,FEn17w09B03.JPG,70.616,46.473,139.288,0.209,Eph.Heptageniidae,B03,
17,FEn17w09B03.JPG,102.081,66.667,126.179,0.167,Eph.Heptageniidae,B03,
18,FEn17w09B03.JPG,69.612,44.525,182.245,0.401,Eph.Heptageniidae,B03,
19,FEn17w09B03.JPG,117.798,82.668,162.385,0.337,Eph.Polymitarcyidae,B03,
20,FEn17w09B03.JPG,120.876,74.241,172.663,0.254,Eph.Polymitarcyidae,B03,
1,FEn17w09B03.JPG,144.254,135.261,164.138,0.38,Dip.ChironomidaeL,B03,
2,FEn17w09B03.JPG,108.931,61.906,143.117,0.477,Dip.ChironomidaeL,B03,
3,FEn17w09B03.JPG,63.747,25,101.333,0.97,Dip.ChironomidaeL,B03,
4,FEn17w09B03.JPG,78.286,42.695,109.969,0.765,Dip.ChironomidaeL,B03,
5,FEn17w09B03.JPG,134.973,99.18,148.894,0.361,Dip.ChironomidaeL,B03,
6,FEn17w09B03.JPG,133.279,90.984,148.042,0.463,Dip.ChironomidaeL,B03,
7,FEn17w09B03.JPG,88.499,21.64,150.068,0.606,Dip.ChironomidaeL,B03,
8,FEn17w09B03.JPG,118.082,82.278,161.04,0.279,Dip.ChironomidaeL,B03,
9,FEn17w09B03.JPG,133.881,95.333,151.993,0.219,Dip.ChironomidaeL,B03,
10,FEn17w09B03.JPG,72.619,31.064,103.284,0.694,Dip.ChironomidaeL,B03,
11,FEn17w09B03.JPG,134.724,117.667,148.16,0.202,Dip.ChironomidaeL,B03,
12,FEn17w09B03.JPG,88.822,52.467,128.021,0.239,Dip.ChironomidaeL,B03,
13,FEn17w09B03.JPG,100.158,75.533,130.916,0.19,Dip.ChironomidaeL,B03,
14,FEn17w09B03.JPG,100.052,63.298,142.194,0.404,Dip.ChironomidaeL,B03,
15,FEn17w09B03.JPG,89.419,57.016,168.215,0.145,Eph.Heptageniidae,B03,
1,FEn17w09B03.JPG,74.213,33.241,128.265,0.321,Eph.Trcorythidae,B03,
2,FEn17w09B03.JPG,57.941,31.573,188.377,0.39,Eph.Trcorythidae,B03,
3,FEn17w09B03.JPG,50.204,25.378,169.333,0.417,Eph.Trcorythidae,B03,
4,FEn17w09B03.JPG,55.592,28.565,76.667,0.599,Col.ElmL,B03,
5,FEn17w09B03.JPG,59.43,37.855,130.531,0.568,Col.ElmL,B03,
6,FEn17w09B03.JPG,76.892,43.316,107.753,0.613,Col.ElmL,B03,
7,FEn17w09B03.JPG,125.327,56.939,187.237,0.463,Col.ElmL,B03,
8,FEn17w09B03.JPG,81.341,43.477,179.715,0.519,Col.ElmL,B03,
9,FEn17w09B03.JPG,92.991,69.104,144.604,0.437,Col.ElmL,B03,
1,FEn17w09B04.1.JPG,34.428,10.427,89.841,0.984,Od.Damselflies,B04,
2,FEn17w09B04.1.JPG,63.038,28,117.583,0.758,Od.Damselflies,B04,
3,FEn17w09B04.1.JPG,60.746,29.587,163.753,1.315,Od.Damselflies,B04,
4,FEn17w09B04.1.JPG,52.461,32.632,83.839,0.466,Od.Damselflies,B04,
5,FEn17w09B04.1.JPG,22.565,15.402,65.345,0.306,Col.ElmA,B04,
6,FEn17w09B04.1.JPG,29.395,13.411,121.56,0.22,Col.ElmA,B04,
7,FEn17w09B04.1.JPG,41.202,24.414,74.134,0.437,Col.Psephenidae,B04,
1,FEn17w09B04.1.JPG,63.887,44.72,93.853,0.201,Eph.Heptageniidae,B04,
2,FEn17w09B04.1.JPG,79.328,48.612,104.798,0.204,Eph.Heptageniidae,B04,
3,FEn17w09B04.1.JPG,74.464,20.448,110.508,0.29,Eph.Heptageniidae,B04,
4,FEn17w09B04.1.JPG,72.346,30.518,141,0.391,Eph.Heptageniidae,B04,
5,FEn17w09B04.1.JPG,81.261,31.453,112.309,0.309,Eph.Heptageniidae,B04,
6,FEn17w09B04.1.JPG,67.537,39.079,97.78,0.251,Eph.Heptageniidae,B04,
7,FEn17w09B04.1.JPG,46.373,22.667,74.612,0.206,Eph.Heptageniidae,B04,
8,FEn17w09B04.1.JPG,66.088,37.803,138.452,0.205,Eph.Heptageniidae,B04,
9,FEn17w09B04.1.JPG,36.064,18.667,99.353,0.725,Eph.Heptageniidae,B04,
10,FEn17w09B04.1.JPG,70.498,35.063,111.333,0.312,Eph.Heptageniidae,B04,
11,FEn17w09B04.1.JPG,81.662,42.832,127.212,0.237,Eph.Heptageniidae,B04,
12,FEn17w09B04.1.JPG,72.125,36.84,99.079,0.415,Eph.Heptageniidae,B04,
13,FEn17w09B04.1.JPG,57.831,35.333,93.714,0.189,Eph.Heptageniidae,B04,
14,FEn17w09B04.1.JPG,67.514,37.769,84.789,0.138,Eph.Heptageniidae,B04,
15,FEn17w09B04.1.JPG,84.457,45.38,122.523,0.215,Eph.Heptageniidae,B04,
16,FEn17w09B04.1.JPG,64.775,33.664,104.667,0.247,Eph.Heptageniidae,B04,
17,FEn17w09B04.1.JPG,85.96,40.433,107.049,0.229,Eph.Heptageniidae,B04,
18,FEn17w09B04.1.JPG,82.225,32.091,120.071,0.322,Eph.Heptageniidae,B04,
19,FEn17w09B04.1.JPG,69.965,39.401,106.916,0.255,Eph.Heptageniidae,B04,
20,FEn17w09B04.1.JPG,44.103,20.6,68.679,0.214,Eph.Heptageniidae,B04,
21,FEn17w09B04.1.JPG,70.482,45.828,137,0.197,Eph.Heptageniidae,B04,
22,FEn17w09B04.1.JPG,88.813,50.208,147.73,0.196,Eph.Heptageniidae,B04,
23,FEn17w09B04.1.JPG,83.542,43.091,118.278,0.277,Eph.Heptageniidae,B04,
24,FEn17w09B04.1.JPG,67.939,44.876,105.667,0.353,Eph.Heptageniidae,B04,
25,FEn17w09B04.1.JPG,59.678,24.654,97.121,0.34,Eph.Heptageniidae,B04,
26,FEn17w09B04.1.JPG,43.449,26.954,98,0.186,Eph.Heptageniidae,B04,
27,FEn17w09B04.1.JPG,46.878,25.954,165.549,0.44,Eph.Heptageniidae,B04,
28,FEn17w09B04.1.JPG,71.723,44.667,115.06,0.184,Eph.Heptageniidae,B04,
29,FEn17w09B04.1.JPG,75.845,34.773,111.159,0.318,Eph.Heptageniidae,B04,
30,FEn17w09B04.1.JPG,33.558,14.023,182.618,0.657,Eph.Heptageniidae,B04,
31,FEn17w09B04.1.JPG,91,46.688,113.934,0.213,Eph.Heptageniidae,B04,
32,FEn17w09B04.1.JPG,72.204,42.513,140.667,0.235,Eph.Heptageniidae,B04,
33,FEn17w09B04.1.JPG,76.5,57.76,113.613,0.11,Eph.Heptageniidae,B04,
34,FEn17w09B04.1.JPG,88.453,69.015,115,0.177,Eph.Heptageniidae,B04,
35,FEn17w09B04.1.JPG,112.955,81.253,140.608,0.118,Eph.Heptageniidae,B04,
36,FEn17w09B04.1.JPG,59.714,26.24,185.972,0.8,Eph.Heptageniidae,B04,
37,FEn17w09B04.1.JPG,45.731,14.333,102.688,0.307,Eph.Heptageniidae,B04,
38,FEn17w09B04.1.JPG,73.52,43.738,119.729,0.236,Eph.Heptageniidae,B04,
39,FEn17w09B04.1.JPG,74.731,40.704,109.147,0.188,Eph.Heptageniidae,B04,
40,FEn17w09B04.1.JPG,65.132,43.039,93.79,0.251,Eph.Heptageniidae,B04,
41,FEn17w09B04.1.JPG,56.106,30.729,129.723,0.279,Eph.Trcorythidae,B04,
1,FEn17w09B04.1.JPG,77.248,58.606,147,0.616,Dip.ChironomidaeL,B04,
2,FEn17w09B04.1.JPG,87.547,62.028,120.512,0.516,Dip.ChironomidaeL,B04,
3,FEn17w09B04.1.JPG,104.205,73.361,129.973,0.402,Dip.ChironomidaeL,B04,
4,FEn17w09B04.1.JPG,115.065,50.333,142.287,0.283,Dip.ChironomidaeL,B04,
5,FEn17w09B04.1.JPG,94.795,52.333,114.982,0.449,Dip.ChironomidaeL,B04,
6,FEn17w09B04.1.JPG,95.246,64.168,146.555,0.451,Dip.ChironomidaeL,B04,
7,FEn17w09B04.1.JPG,110.905,67.669,157.138,0.244,Dip.ChironomidaeL,B04,
8,FEn17w09B04.1.JPG,114.268,85.864,151.206,0.316,Dip.ChironomidaeL,B04,
9,FEn17w09B04.1.JPG,91.291,67.56,144.383,0.242,Dip.ChironomidaeL,B04,
10,FEn17w09B04.1.JPG,109.229,67.92,148.715,0.442,Dip.ChironomidaeL,B04,
11,FEn17w09B04.1.JPG,97.678,77.813,120.333,0.26,Dip.ChironomidaeL,B04,
12,FEn17w09B04.1.JPG,121.111,88.858,164.986,0.322,Dip.ChironomidaeL,B04,
13,FEn17w09B04.1.JPG,105.095,61.667,125.964,0.148,Dip.ChironomidaeL,B04,
14,FEn17w09B04.1.JPG,104.671,77.667,127.798,0.374,Dip.ChironomidaeL,B04,
15,FEn17w09B04.1.JPG,103.575,53.55,139.924,0.24,Dip.ChironomidaeL,B04,
16,FEn17w09B04.1.JPG,70.749,45.471,88.333,0.26,Dip.ChironomidaeL,B04,
17,FEn17w09B04.1.JPG,76.248,62.333,89.333,0.107,Eph.Heptageniidae,B04,
1,FEn17w09B04.2.JPG,89.661,66.916,111.727,0.268128,Eph.Heptageniidae,B04,
2,FEn17w09B04.2.JPG,46.081,15.335,115.155,0.612864,Eph.Heptageniidae,B04,
3,FEn17w09B04.2.JPG,86.923,52.936,113.333,0.217056,Eph.Heptageniidae,B04,
4,FEn17w09B04.2.JPG,63.949,25.489,100.306,0.3192,Eph.Heptageniidae,B04,
5,FEn17w09B04.2.JPG,66.12,38.932,98.295,0.242592,Eph.Heptageniidae,B04,
6,FEn17w09B04.2.JPG,68.262,49.723,138.079,0.23408,Eph.Heptageniidae,B04,
7,FEn17w09B04.2.JPG,74.914,43.998,97.093,0.136192,Eph.Heptageniidae,B04,
8,FEn17w09B04.2.JPG,98.429,71.253,141.182,0.187264,Eph.Heptageniidae,B04,
9,FEn17w09B04.2.JPG,101.617,76.682,129.983,0.174496,Eph.Heptageniidae,B04,
10,FEn17w09B04.2.JPG,83.12,29.352,122.603,0.195776,Eph.Heptageniidae,B04,
11,FEn17w09B04.2.JPG,67.597,50,93.275,0.336224,Eph.Heptageniidae,B04,
12,FEn17w09B04.2.JPG,66.715,36.288,126,0.251104,Eph.Heptageniidae,B04,
